,Up Votes,Down Votes,Month,Ratings,Review,Year,Sentiment
2693,0.0,0.0,Feb,5,Utterly Disappointed Good purchase. Genuine product. Fast delivery. Thank youREAD MORE,2021,Positive
2694,0.0,0.0,Feb,2,"Expected a better product Not durable,broken easily and not cost effectiveREAD MORE",2021,Negative
2695,0.0,0.0,Feb,5,Simply awesome Very niceREAD MORE,2021,Positive
2696,0.0,0.0,Feb,1,"Mind-blowing purchase Not durable, 1 shuttle lost every 8 matches.Edge gets cut. Base is also cutting 🥺🥺READ MORE",2021,Negative
2697,0.0,0.0,Feb,1,Great product The quality of the shettle were not good as exceptedREAD MORE,2021,Negative
2698,0.0,0.0,Feb,4,Nice product Genuine productREAD MORE,2021,Positive
2699,0.0,0.0,Feb,5,Delightful Good and original productREAD MORE,2021,Positive
2700,0.0,0.0,Feb,5,Does the job Long lastingREAD MORE,2021,Positive
2701,0.0,0.0,Feb,5,Very poor Delivered on time and delivery executive is so Pro active. He delivered to security when he sensed am in the meeting .. thanks to such guysREAD MORE,2021,Positive
2702,0.0,0.0,Feb,3,Just wow! Box damagedREAD MORE,2021,Neutral
2703,0.0,0.0,Feb,1,Not recommended at all Don’t buy the product is very bad got bent after few days of using itREAD MORE,2021,Negative
2704,0.0,0.0,Feb,2,Decent product BedREAD MORE,2021,Negative
2705,0.0,1.0,Feb,5,Great product Excellent product must buyValue for money Long lastingREAD MORE,2021,Positive
2706,0.0,0.0,Feb,5,Worth the money Good products and i played with itI prefer to buy this OnlyREAD MORE,2021,Positive
2707,0.0,0.0,Feb,5,Delightful UsefulREAD MORE,2021,Positive
2708,0.0,0.0,Feb,4,Perfect product! NiceREAD MORE,2021,Positive
2709,0.0,0.0,Feb,4,Just wow! AwesomeREAD MORE,2021,Positive
2710,0.0,0.0,Feb,3,Super! goodREAD MORE,2021,Neutral
2711,0.0,0.0,Feb,1,Perfect product! Totally disappointed local plasticPlease don't buyREAD MORE,2021,Negative
2712,0.0,0.0,Feb,5,Brilliant Nice original productREAD MORE,2021,Positive
2713,0.0,0.0,Feb,1,Delightful Product was not goodREAD MORE,2021,Negative
2714,0.0,0.0,Feb,3,Terrific purchase Quality not goodREAD MORE,2021,Neutral
2715,0.0,0.0,Feb,5,Good choice SuperREAD MORE,2021,Positive
2716,0.0,0.0,Feb,4,Good choice GoodREAD MORE,2021,Positive
2717,0.0,0.0,Feb,4,Nice GdREAD MORE,2021,Positive
2718,0.0,0.0,Feb,5,Fabulous! Good ProductREAD MORE,2021,Positive
2719,0.0,0.0,Feb,5,Mind-blowing purchase Good may god bless you my childREAD MORE,2021,Positive
2720,0.0,0.0,Feb,5,Classy product Its really goodREAD MORE,2021,Positive
2721,0.0,0.0,Feb,5,Slightly disappointed Super.mavis.350.thankyou.flipcartREAD MORE,2021,Positive
2722,0.0,0.0,Feb,5,Not good Nice productsREAD MORE,2021,Positive
2723,0.0,0.0,Feb,4,Decent product GoodREAD MORE,2021,Positive
2724,0.0,0.0,Feb,5,"Worth every penny Nice , comfortable for playing, compare to 200i, this is the bestREAD MORE",2021,Positive
2725,0.0,0.0,Feb,4,Simply awesome Long lasting good qualityREAD MORE,2021,Positive
2726,0.0,0.0,Feb,4,Worth the money GoodREAD MORE,2021,Positive
2727,0.0,0.0,Feb,3,Best in the market! Poor quality..READ MORE,2021,Neutral
2728,0.0,0.0,Feb,5,Unsatisfactory Good productREAD MORE,2021,Positive
2729,0.0,0.0,Feb,5,Best in the market! Absolutely genuine shuttles. They last very long and are strong. I loved it... Very worthy for your money.READ MORE,2021,Positive
2730,0.0,0.0,Feb,5,Good choice Nicely sealed box and looks genuineREAD MORE,2021,Positive
2731,0.0,0.0,Feb,2,Worth every penny Not as real mevis 350READ MORE,2021,Negative
2732,0.0,1.0,Feb,2,"Classy product Low quality product, one shuttle starts tearing up after 7-8 games.READ MORE",2021,Negative
2733,0.0,0.0,Feb,3,Great product GoodREAD MORE,2021,Neutral
2734,0.0,0.0,Feb,5,Terrific OkREAD MORE,2021,Positive
2735,0.0,0.0,Feb,5,Brilliant Nice n original productREAD MORE,2021,Positive
2736,0.0,0.0,Feb,4,Good quality product super go for itREAD MORE,2021,Positive
2737,0.0,0.0,Feb,5,Terrific Awesome 👍😎READ MORE,2021,Positive
2738,0.0,0.0,Feb,1,Fabulous! Worast quality..very badREAD MORE,2021,Negative
2739,0.0,0.0,Feb,5,Great product Quality product. Value for moneyREAD MORE,2021,Positive
2740,0.0,0.0,Feb,4,Classy product Good productREAD MORE,2021,Positive
2741,0.0,0.0,Feb,5,Terrific purchase Gud one..Thxx FlipkartREAD MORE,2021,Positive
2742,0.0,0.0,Feb,5,Terrific Good performanceREAD MORE,2021,Positive
2743,0.0,0.0,Feb,5,Best in the market! Best👌READ MORE,2021,Positive
2744,0.0,0.0,Feb,5,Wonderful Very GoodREAD MORE,2021,Positive
2745,0.0,0.0,Feb,5,Wonderful Best shuttle 👍READ MORE,2021,Positive
2746,0.0,0.0,Feb,4,Worth every penny Very niceREAD MORE,2021,Positive
2747,0.0,0.0,Feb,5,Good quality product GoodREAD MORE,2021,Positive
2748,0.0,0.0,Feb,5,Really Nice Good shuttleREAD MORE,2021,Positive
2749,0.0,0.0,Feb,5,Could be way better Ok original product...READ MORE,2021,Positive
2750,0.0,0.0,Feb,5,Very Good worth to moneyREAD MORE,2021,Positive
2751,0.0,0.0,Feb,5,Great product GoodREAD MORE,2021,Positive
2752,0.0,0.0,Feb,5,Fabulous! SuperREAD MORE,2021,Positive
2753,0.0,0.0,Feb,5,Does the job As usualREAD MORE,2021,Positive
2754,0.0,0.0,Feb,5,Just wow! Perfect qualityREAD MORE,2021,Positive
2755,0.0,0.0,Feb,4,Great product Thanks seller I got replace orignal product as required.READ MORE,2021,Positive
2756,0.0,0.0,Feb,5,Good quality product Best productREAD MORE,2021,Positive
2757,0.0,0.0,Feb,4,Could be way better Good quality..durability is also more..READ MORE,2021,Positive
2758,0.0,0.0,Feb,4,Awesome Liked itREAD MORE,2021,Positive
2759,0.0,0.0,Feb,2,Good choice Shuttle is very slowREAD MORE,2021,Negative
2760,0.0,0.0,Feb,4,Terrific GoodREAD MORE,2021,Positive
2761,0.0,0.0,Feb,5,Good It is worth the money we spend to buy it .....good quality 👍READ MORE,2021,Positive
2762,0.0,0.0,Feb,5,Brilliant Good product 👍READ MORE,2021,Positive
2763,0.0,0.0,Feb,3,Wonderful ExpensiveREAD MORE,2021,Neutral
2764,0.0,0.0,Feb,5,Wonderful NiceREAD MORE,2021,Positive
2765,0.0,0.0,Feb,5,Unsatisfactory I love itREAD MORE,2021,Positive
2766,0.0,0.0,Feb,4,Best in the market! GoodREAD MORE,2021,Positive
2767,0.0,0.0,Feb,2,Excellent Price is too high and low durability Got Damaged after 1 dayREAD MORE,2021,Negative
2768,0.0,0.0,Feb,5,Wonderful Nice Product very good for playing and it can survive up to 3 days in normal playing condition.READ MORE,2021,Positive
2769,0.0,0.0,Feb,4,Could be way better Low quality product send . The shatels are broken when I played 2 games onlyREAD MORE,2021,Positive
2770,0.0,0.0,Feb,5,Classy product Good productREAD MORE,2021,Positive
2771,0.0,0.0,Feb,3,Simply awesome Not as expected but ok.READ MORE,2021,Neutral
2772,0.0,0.0,Feb,5,Terrific purchase GoodREAD MORE,2021,Positive
2773,0.0,0.0,Feb,4,Decent product BrilliantREAD MORE,2021,Positive
2774,0.0,0.0,Feb,5,Worth every penny Awesome Product & Delivery is SuperbREAD MORE,2021,Positive
2775,0.0,0.0,Feb,1,"Not good Even it's green cap, the shuttles are toooooooo slowREAD MORE",2021,Negative
2776,0.0,0.0,Feb,5,Awesome GoodREAD MORE,2021,Positive
2777,0.0,0.0,Feb,5,Classy product GoodREAD MORE,2021,Positive
2778,0.0,0.0,Feb,5,Fair Good qualityREAD MORE,2021,Positive
2779,0.0,0.0,Feb,2,"Fabulous! Quality concern,very poor poor quality i ll not recommend to buyREAD MORE",2021,Negative
2780,0.0,0.0,Feb,5,Slightly disappointed NiceREAD MORE,2021,Positive
2781,0.0,0.0,Feb,5,Fair As expected it is Mavis-350. I liked this oneREAD MORE,2021,Positive
2782,0.0,0.0,Feb,5,Wonderful Thank you so muchREAD MORE,2021,Positive
2783,0.0,0.0,Feb,3,Highly recommended It's good but it's not durable yonex Mavis 10 is an all rounder at the price of 1 yonex mavis 350 v get 2yonex Mavis 10 plus is durable too it all has some disadvantages but it won't matter if u have not played with 350yet If and only if the prise of 350 gets low will suggest it it not value for money at the momentREAD MORE,2021,Neutral
2784,0.0,0.0,Feb,5,Expected a better product Average praductREAD MORE,2021,Positive
2785,0.0,0.0,Feb,2,Decent product Some of the shuttles are very fast no drift at all worst purchaseREAD MORE,2021,Negative
2786,0.0,0.0,Feb,5,Very Good GoodREAD MORE,2021,Positive
2787,0.0,0.0,Feb,5,Horrible i was really surprised with the speed of delivery...got the product in less than 12 hours...full 5 starsREAD MORE,2021,Positive
2788,0.0,0.0,Feb,3,Great product AverageREAD MORE,2021,Neutral
2789,0.0,0.0,Feb,5,Delightful Super... thanks FlipkartREAD MORE,2021,Positive
2790,0.0,0.0,Feb,2,Waste of money! Cork is not worthy. Quality is too poor.READ MORE,2021,Negative
2791,0.0,0.0,Feb,3,Value-for-money Not badREAD MORE,2021,Neutral
2792,0.0,0.0,Feb,5,Good Original ptoduct.I m happy with that.ty flipcart.today I have just received the item and it seems superb.after playing with the shuttle I will post more review whether it is genuine or not.READ MORE,2021,Positive
2793,0.0,0.0,Feb,5,Good choice SuperREAD MORE,2021,Positive
2794,0.0,0.0,Feb,2,Perfect product! Good job. Reached my purchase. 3 Before the delivery date. Keep it upREAD MORE,2021,Negative
2795,0.0,0.0,Feb,3,Nice product shuttle are have very speedREAD MORE,2021,Neutral
2796,0.0,0.0,Feb,4,Unsatisfactory GoodREAD MORE,2021,Positive
2797,0.0,0.0,Jan,1,Super! Damage  product givenREAD MORE,2021,Negative
2798,0.0,0.0,Jan,5,Utterly Disappointed good qualityREAD MORE,2021,Positive
2799,0.0,0.0,Jan,4,Really Nice GoodREAD MORE,2021,Positive
2800,0.0,0.0,Jan,1,Must buy! Price to highREAD MORE,2021,Negative
2801,0.0,0.0,Jan,4,Fair NiceREAD MORE,2021,Positive
2802,0.0,0.0,Jan,3,Nice product Not badREAD MORE,2021,Neutral
2803,0.0,0.0,Jan,4,Pretty good Good shuttleREAD MORE,2021,Positive
2804,0.0,0.0,Jan,5,Brilliant Good quality productREAD MORE,2021,Positive
2805,0.0,0.0,Jan,4,Mind-blowing purchase GoodREAD MORE,2021,Positive
2806,0.0,0.0,Jan,1,Good quality product Item was not upto the markShuttle demaged only in 2 days i think stock was not new manufactured 2 or 3 yearsbackREAD MORE,2021,Negative
2807,0.0,0.0,Jan,5,Super! Smart buy at only 809..READ MORE,2021,Positive
2808,0.0,0.0,Jan,1,Does the job This is not mavis350 slow.. the feathers are rough.. and shettle flies outside the court easily. Can't play the proper game..READ MORE,2021,Negative
2809,0.0,0.0,Jan,4,Highly recommended Thank you flipkart for arranging the replacement. I am upgrading the stars. But please ensure that such incidents doesn't happen again.READ MORE,2021,Positive
2810,0.0,0.0,Jan,5,Super! Good qualityREAD MORE,2021,Positive
2811,0.0,0.0,Jan,3,"Excellent Go fast product not gud,rate too high iam not satisfiedREAD MORE",2021,Neutral
2812,0.0,0.0,Jan,4,Mind-blowing purchase Always better this shuttleREAD MORE,2021,Positive
2813,0.0,0.0,Jan,4,"Waste of money! It's a good Shuttle for Outdoor.We are always playing with Mavis 350Great Shuttle but "" white is better than green "" 👍READ MORE",2021,Positive
2814,0.0,0.0,Jan,5,Good quality product Genuine Yonex shuttle. Verified the code on sunrise website.READ MORE,2021,Positive
2815,0.0,0.0,Jan,5,Classy product GoodREAD MORE,2021,Positive
2816,0.0,0.0,Jan,4,Worth every penny Super quality and good durabilityREAD MORE,2021,Positive
2817,0.0,0.0,Jan,5,Horrible excellentREAD MORE,2021,Positive
2818,0.0,0.0,Jan,3,Waste of money! Itna kash nai. But nimit okayREAD MORE,2021,Neutral
2819,0.0,0.0,Jan,5,Wonderful Very good and thanksREAD MORE,2021,Positive
2820,0.0,0.0,Jan,5,Not good It is goodREAD MORE,2021,Positive
2821,0.0,0.0,Jan,5,Value-for-money ExcellentREAD MORE,2021,Positive
2822,0.0,0.0,Jan,5,Great product GoodREAD MORE,2021,Positive
2823,0.0,1.0,Jan,1,Really Nice The shuttle speed was lower than anticipates as compared to the normal ones brought from the store. Complete waste of money.READ MORE,2021,Negative
2824,0.0,0.0,Jan,4,Good quality product PerfectREAD MORE,2021,Positive
2825,0.0,0.0,Jan,5,Terrific purchase ExcellentREAD MORE,2021,Positive
2826,0.0,0.0,Jan,5,Moderate Very good qualityREAD MORE,2021,Positive
2827,0.0,0.0,Jan,1,Highly recommended Damaged products..READ MORE,2021,Negative
2828,0.0,0.0,Jan,1,Excellent Poor quality don't buy thisREAD MORE,2021,Negative
2829,0.0,0.0,Jan,5,Just wow! Nice product and timely delivery.READ MORE,2021,Positive
2830,0.0,0.0,Jan,2,Terrific Damaged very quickly.Played hardly for 02 matches per shuttle.READ MORE,2021,Negative
2831,0.0,0.0,Jan,4,Simply awesome This product is goodREAD MORE,2021,Positive
2832,0.0,0.0,Jan,5,Fabulous! Orginal product👍👍READ MORE,2021,Positive
2833,0.0,0.0,Jan,4,Don't waste your money Value for moneyREAD MORE,2021,Positive
2834,0.0,0.0,Jan,4,Value-for-money Go for it...READ MORE,2021,Positive
2835,0.0,0.0,Jan,5,Just wow! GoodREAD MORE,2021,Positive
2836,0.0,0.0,Jan,2,Must buy! Not goodREAD MORE,2021,Negative
2837,0.0,0.0,Jan,5,Terrific 𝙊𝙪𝙩𝙨𝙩𝙖𝙣𝙙𝙞𝙣𝙜READ MORE,2021,Positive
2838,0.0,0.0,Jan,5,Slightly disappointed Favorite for everREAD MORE,2021,Positive
2839,0.0,0.0,Jan,5,Perfect product! NiceREAD MORE,2021,Positive
2840,0.0,0.0,Jan,5,Very Good GoodREAD MORE,2021,Positive
2841,0.0,0.0,Jan,5,Moderate good and durable for smashingREAD MORE,2021,Positive
2842,0.0,0.0,Jan,5,Terrific purchase Awesome productREAD MORE,2021,Positive
2843,0.0,0.0,Jan,1,Good choice Waste of moneyREAD MORE,2021,Negative
2844,0.0,0.0,Jan,4,Wonderful NYC productsREAD MORE,2021,Positive
2845,0.0,0.0,Jan,5,Worth the money GoodREAD MORE,2021,Positive
2846,0.0,0.0,Jan,5,Terrific Price to highREAD MORE,2021,Positive
2847,0.0,0.0,Jan,5,Terrific Good productREAD MORE,2021,Positive
2848,0.0,0.0,Jan,2,Brilliant OkREAD MORE,2021,Negative
2849,0.0,0.0,Jan,5,Best in the market! Best qualityREAD MORE,2021,Positive
2850,0.0,0.0,Jan,4,Wonderful NiceREAD MORE,2021,Positive
2851,0.0,0.0,Jan,2,Wonderful Its  tooo bad   quality .its  just running  2  to  3  days onlyREAD MORE,2021,Negative
2852,0.0,0.0,Jan,5,Good choice Yar suttle is very good but the price is to high for normal studentREAD MORE,2021,Positive
2853,0.0,0.0,Jan,4,Utterly Disappointed Not up to the markREAD MORE,2021,Positive
2854,0.0,0.0,Jan,5,Simply awesome Very good excellentREAD MORE,2021,Positive
2855,0.0,0.0,Jan,4,Simply awesome OkREAD MORE,2021,Positive
2856,0.0,0.0,Jan,5,Very Good Mmm....okREAD MORE,2021,Positive
2857,0.0,0.0,Jan,5,Worthless It's a very good productREAD MORE,2021,Positive
2858,0.0,0.0,Jan,5,Just okay Got genuine product. Even the import stamp says December 2020. Even when there's a shortage of these shuttles import.READ MORE,2021,Positive
2859,0.0,0.0,Jan,5,Wonderful Good quality delivered within 72hREAD MORE,2021,Positive
2860,0.0,0.0,Jan,5,Brilliant Nice n genuine productREAD MORE,2021,Positive
2861,0.0,0.0,Jan,5,Mind-blowing purchase NYC productREAD MORE,2021,Positive
2862,0.0,0.0,Jan,4,"Super! Good, compared with other shuttleREAD MORE",2021,Positive
2863,0.0,0.0,Jan,1,Super! Waste for moneyREAD MORE,2021,Negative
2864,0.0,0.0,Jan,5,Delightful Excellent flight and carry. Good for practice.READ MORE,2021,Positive
2865,0.0,0.0,Jan,5,Highly recommended goodREAD MORE,2021,Positive
2866,0.0,0.0,Jan,4,Utterly Disappointed Good morningREAD MORE,2021,Positive
2867,0.0,0.0,Jan,1,Perfect product! Not good product.... Old product.... Faced lots of problemsNot expected such type of problemsREAD MORE,2021,Negative
2868,0.0,0.0,Jan,3,Super! One shuttle was not goodREAD MORE,2021,Neutral
2869,0.0,0.0,Jan,5,Awesome Very good quality productREAD MORE,2021,Positive
2870,0.0,0.0,Jan,5,Really Nice Good quality 👌READ MORE,2021,Positive
2871,0.0,0.0,Jan,5,Mind-blowing purchase No problem its looking like goodREAD MORE,2021,Positive
2872,0.0,0.0,Jan,5,"Highly recommended Gud product, all shuttles are brand newREAD MORE",2021,Positive
2873,0.0,0.0,Jan,5,Worthless Great!!READ MORE,2021,Positive
2874,0.0,0.0,Jan,4,Great product As expected product.READ MORE,2021,Positive
2875,0.0,0.0,Jan,5,Not good Definitely a original product as we got fooled by our localsREAD MORE,2021,Positive
2876,0.0,0.0,Jan,1,Excellent One of them is broken.READ MORE,2021,Negative
2877,0.0,0.0,Jan,5,Does the job Good but very costlyREAD MORE,2021,Positive
2878,0.0,0.0,Jan,5,Wonderful 100% originalREAD MORE,2021,Positive
2879,0.0,0.0,Jan,5,Terrific purchase GoodREAD MORE,2021,Positive
2880,0.0,0.0,Jan,4,Terrific goodREAD MORE,2021,Positive
2881,0.0,0.0,Jan,5,Worst experience ever! Always best as usualREAD MORE,2021,Positive
2882,0.0,0.0,Jan,5,Perfect product! Very niceREAD MORE,2021,Positive
2883,0.0,0.0,Jan,1,Terrific Bad product. I got two days durabilityREAD MORE,2021,Negative
2884,0.0,0.0,Jan,5,Decent product Perfect Shuttle for beginners and intermediate players.READ MORE,2021,Positive
2885,0.0,0.0,Jan,2,Brilliant Stick only 2days# Shuttle.READ MORE,2021,Negative
2886,0.0,0.0,Jan,5,Don't waste your money Slow in speed but very niceREAD MORE,2021,Positive
2887,0.0,0.0,Jan,3,Terrific purchase It was ok..but little bit slowREAD MORE,2021,Neutral
2888,0.0,0.0,Jan,5,Wonderful Good quality 👌READ MORE,2021,Positive
2889,0.0,0.0,Jan,5,Worth the money Always awesome product 😎 👌 😘❤READ MORE,2021,Positive
2890,0.0,0.0,Jan,5,Classy product Awesome ProductREAD MORE,2021,Positive
2891,0.0,0.0,Jan,1,Good quality product Not durableREAD MORE,2021,Negative
2892,0.0,0.0,Jan,5,Perfect product! Great value for money.READ MORE,2021,Positive
2893,0.0,0.0,Jan,5,Wonderful Very nice product superrrrrrrREAD MORE,2021,Positive
2894,0.0,0.0,Jan,3,Terrible product Not badREAD MORE,2021,Neutral
2895,0.0,0.0,Jan,5,Excellent Quality good..READ MORE,2021,Positive
2896,0.0,0.0,Jan,1,"Mind-blowing purchase very old product, very bad quality, broken just in one match, the one I bought from market was good but brought from flipkart is very bad.Never ever buy these shuttle from flipkart.READ MORE",2021,Negative
2897,0.0,0.0,Jan,5,Good quality product osamaREAD MORE,2021,Positive
2898,0.0,0.0,Jan,4,Worth every penny Wow . Super super superREAD MORE,2021,Positive
2899,0.0,0.0,Jan,4,Worth every penny delivered on time...value for money....go 4 it.READ MORE,2021,Positive
2900,0.0,0.0,Jan,5,Best in the market! SprREAD MORE,2021,Positive
2901,0.0,0.0,Jan,4,Delightful GoodREAD MORE,2021,Positive
2902,0.0,0.0,Jan,5,Awesome SupremeREAD MORE,2021,Positive
2903,0.0,0.0,Jan,5,Perfect product! Each one 150 costly gameREAD MORE,2021,Positive
2904,0.0,0.0,Jan,1,Wonderful Damaged itemREAD MORE,2021,Negative
2905,0.0,0.0,Jan,5,Slightly disappointed goodREAD MORE,2021,Positive
2906,0.0,0.0,Jan,5,Good Very good itemREAD MORE,2021,Positive
2907,0.0,0.0,Jan,4,Worth every penny good qualityREAD MORE,2021,Positive
2908,0.0,0.0,Jan,5,Utterly Disappointed Good....No choiceREAD MORE,2021,Positive
2909,0.0,0.0,Jan,5,"Must buy! Good one, Orginal product.READ MORE",2021,Positive
2910,0.0,0.0,Jan,5,Good choice WonderfulREAD MORE,2021,Positive
2911,0.0,0.0,Jan,4,Utterly Disappointed It's very good quality product...READ MORE,2021,Positive
2912,0.0,0.0,Jan,5,Bad quality GreatREAD MORE,2021,Positive
2913,0.0,0.0,Jan,5,Utterly Disappointed GoodREAD MORE,2021,Positive
2914,0.0,0.0,Jan,5,Worthless SuperREAD MORE,2021,Positive
2915,0.0,0.0,Jan,2,"Waste of money! The quality of this shuttlecock is not good. After 5 to 6 games, the skirt damage and it become unbalanced and unplayable.READ MORE",2021,Negative
2916,0.0,0.0,Jan,3,Perfect product! K betterREAD MORE,2021,Neutral
2917,0.0,0.0,Jan,5,Brilliant Very good shuttles...👌READ MORE,2021,Positive
2918,0.0,0.0,Jan,1,Delightful Item  is  note  same  qualityREAD MORE,2021,Negative
2919,0.0,0.0,Jan,5,Nice SuperREAD MORE,2021,Positive
2920,0.0,0.0,Jan,4,"Terrific purchase Good, as expected.READ MORE",2021,Positive
2921,0.0,0.0,Jan,1,Terrific purchase Bad...products..READ MORE,2021,Negative
2922,0.0,0.0,Jan,2,Not recommended at all the shuttles failed miserably...one miss hit to the shuttle skirt and it broke from bottom core…READ MORE,2021,Negative
2923,0.0,0.0,Jan,1,Terrific purchase Very badREAD MORE,2021,Negative
2924,0.0,0.0,Jan,1,Simply awesome In some one there is a small small hole in shuttleREAD MORE,2021,Negative
2925,0.0,0.0,Jan,1,Excellent Not goodREAD MORE,2021,Negative
2926,0.0,0.0,Jan,5,Excellent GoodREAD MORE,2021,Positive
2927,0.0,0.0,Jan,5,Wonderful AcceptedREAD MORE,2021,Positive
2928,0.0,0.0,Jan,4,Worth every penny Very good....READ MORE,2021,Positive
2929,0.0,0.0,Jan,3,Good choice Not niceREAD MORE,2021,Neutral
2930,0.0,0.0,Jan,5,Just okay Original Good qualityREAD MORE,2021,Positive
2931,0.0,0.0,Jan,5,Very Good Good productREAD MORE,2021,Positive
2932,0.0,0.0,Jan,1,Wonderful Atom is missingREAD MORE,2021,Negative
2933,0.0,0.0,Jan,5,Best in the market! good productREAD MORE,2021,Positive
2934,0.0,0.0,Jan,5,Really Nice Nothing is better than this....READ MORE,2021,Positive
2935,0.0,0.0,Jan,5,Very Good Quality is going down day by dayREAD MORE,2021,Positive
2936,0.0,0.0,Jan,5,Mind-blowing purchase GoodREAD MORE,2021,Positive
2937,0.0,0.0,Jan,4,Terrific Loved itREAD MORE,2021,Positive
2938,0.0,0.0,Jan,5,Awesome Nice productREAD MORE,2021,Positive
2939,0.0,0.0,Jan,4,Not recommended at all GreatREAD MORE,2021,Positive
2940,0.0,0.0,Jan,3,Really Nice Very costlyREAD MORE,2021,Neutral
2941,0.0,0.0,Jan,4,Horrible Very nice productREAD MORE,2021,Positive
2942,0.0,0.0,Jan,5,Good choice GoodREAD MORE,2021,Positive
2943,0.0,0.0,Jan,5,Very Good Original product. Got it fully packed with yonex hologram. The quality of the product is relly nice.READ MORE,2021,Positive
2944,0.0,0.0,Jan,4,Wonderful Good. But a bit costly this year.READ MORE,2021,Positive
2945,0.0,0.0,Jan,4,Terrific purchase GoodREAD MORE,2021,Positive
2946,0.0,0.0,Jan,5,Value-for-money GoodREAD MORE,2021,Positive
2947,0.0,0.0,Jan,5,Must buy! AwesomeREAD MORE,2021,Positive
2948,0.0,0.0,Jan,5,Simply awesome Great purchaseREAD MORE,2021,Positive
2949,0.0,0.0,Jan,1,"Did not meet expectations in this roll only  5 games it will  tear, all the way, pls provided  original quality.READ MORE",2021,Negative
2950,0.0,0.0,Jan,4,Worth the money Best productREAD MORE,2021,Positive
2951,0.0,0.0,Jan,1,Brilliant BadREAD MORE,2021,Negative
2952,0.0,0.0,Jan,4,Excellent GoodREAD MORE,2021,Positive
2953,0.0,0.0,Jan,4,Best in the market! Nice shuttle and base is too goodREAD MORE,2021,Positive
2954,0.0,0.0,Jan,5,Highly recommended Good QualityREAD MORE,2021,Positive
2955,0.0,0.0,Jan,5,Good Excellent shuttle for outdoor play.READ MORE,2021,Positive
2956,0.0,0.0,Jan,4,Perfect product! Fine qualityREAD MORE,2021,Positive
2957,0.0,0.0,Jan,5,Perfect product! Good productREAD MORE,2021,Positive
2958,0.0,0.0,Jan,5,Slightly disappointed GoodREAD MORE,2021,Positive
2959,0.0,0.0,Jan,1,Classy product Very poor quality.READ MORE,2021,Negative
2960,0.0,0.0,Jan,4,Terrific Genuine product receivedREAD MORE,2021,Positive
2961,0.0,0.0,Jan,5,Useless product According to the price Quality is goodREAD MORE,2021,Positive
2962,0.0,1.0,Jan,5,"Super! Original, quick deliver. Satisfactory buyREAD MORE",2021,Positive
2963,0.0,0.0,Jan,5,Does the job Good productREAD MORE,2021,Positive
2964,0.0,0.0,Jan,5,Bad quality Good productREAD MORE,2021,Positive
2965,0.0,0.0,Jan,3,Useless product GoodREAD MORE,2021,Neutral
2966,0.0,0.0,Jan,5,Worth every penny Super 👌READ MORE,2021,Positive
2967,0.0,0.0,Dec,5,"Good Really good, Durability is good compared to buy in Amazon. Really I don't know what is the difference.But good.. Thank you flipkartREAD MORE",2020,Positive
2968,0.0,0.0,Dec,2,Mind-blowing purchase Quality not goodREAD MORE,2020,Negative
2969,0.0,0.0,Dec,5,Wonderful Very Nice ProductREAD MORE,2020,Positive
2970,0.0,0.0,Dec,5,Good quality product The delivery was quick and absolutely the packing was nice and quality was excellent.READ MORE,2020,Positive
2971,0.0,0.0,Dec,1,Just wow! Quality very poor duplicate productREAD MORE,2020,Negative
2972,0.0,0.0,Dec,5,Wonderful Gud productREAD MORE,2020,Positive
2973,0.0,0.0,Dec,3,Good quality product Not bad but . there's holes in the wooden part it course fast damag.. wooden part damaged so fastREAD MORE,2020,Neutral
2974,0.0,0.0,Dec,2,Super! 3 out of six shuttles are not goodREAD MORE,2020,Negative
2975,0.0,0.0,Dec,1,Mind-blowing purchase Worrest productREAD MORE,2020,Negative
2976,0.0,0.0,Dec,5,Great product GoodREAD MORE,2020,Positive
2977,0.0,0.0,Dec,3,"Just wow! Once upon a time these were unbreakable for about a month's usage. But these new one last for about 1-2 weeks tops; with moderate to heavy use. P.S.- Talking about 1 shuttlecock, not the whole pack.READ MORE",2020,Neutral
2978,0.0,0.0,Dec,5,Mind-blowing purchase Superb productREAD MORE,2020,Positive
2979,0.0,0.0,Dec,5,Best in the market! The best for badminton preparationREAD MORE,2020,Positive
2980,0.0,0.0,Dec,4,Good GoodREAD MORE,2020,Positive
2981,0.0,0.0,Dec,5,Simply awesome Overall good.READ MORE,2020,Positive
2982,0.0,0.0,Dec,4,Terrific GoodREAD MORE,2020,Positive
2983,0.0,0.0,Dec,4,Could be way better GoodREAD MORE,2020,Positive
2984,0.0,0.0,Dec,5,Good choice Just goodREAD MORE,2020,Positive
2985,0.0,0.0,Dec,5,Terrific purchase Good productREAD MORE,2020,Positive
2986,0.0,0.0,Dec,5,Don't waste your money NiceREAD MORE,2020,Positive
2987,0.0,0.0,Dec,5,Delightful Nice 👍👍👍👍READ MORE,2020,Positive
2988,0.0,0.0,Dec,5,Classy product AwesomeREAD MORE,2020,Positive
2989,0.0,0.0,Dec,5,Moderate Best quality original awesome 💓READ MORE,2020,Positive
2990,0.0,0.0,Dec,3,Mind-blowing purchase I felt 2-3(total 6) shuttles are not genuine ! .READ MORE,2020,Neutral
2991,0.0,0.0,Dec,5,Just wow! NiceREAD MORE,2020,Positive
2992,0.0,0.0,Dec,5,Must buy! Nice product and it's originalREAD MORE,2020,Positive
